time,open,high,low,close
1652673600,30314.9,30461.3,29280,29572.8
1652688000,29572.7,30196.1,29417.3,29937.5
1652702400,29939.6,30288,29309.5,29663.1
1652716800,29663.1,29980.3,29052.3,29564.3
1652731200,29564.3,30257,29530,29866.7
1652745600,29866.4,30500,29750.1,30341.6
1652760000,30341.6,30576.4,30223,30394.3
1652774400,30394.2,30794,30258.3,30302
1652788800,30302,30739.3,29928,30130.7
1652803200,30130.7,30300,29420,30081.2
1652817600,30081.2,30684.8,30027,30437
1652832000,30437,30700,29700,29815.2
1652846400,29815.3,30080.7,29633.4,29893.7
1652860800,29893.7,30038.2,29724,29818.1
1652875200,29818.1,29890,28850,28971.9
1652889600,28971.9,29534.4,28726.7,29257.6
1652904000,29257.5,29395.2,28629.6,28700.6
1652918400,28700.6,29339.5,28670.5,29179.6
1652932800,29179.5,29438,29014.2,29181.9
1652947200,29182,29525.1,28838.8,29482.2
1652961600,29482.2,30550,29345,30386.4
1652976000,30386.4,30446.5,29953.2,29959.2
1652990400,29959.3,30492,29932,30319.9
1653004800,30319.9,30784.4,30121.4,30172.6
1653019200,30172.5,30360,29839.3,30251.5
1653033600,30251.6,30540,30105.8,30412.5
1653048000,30412.4,30448.9,29058.5,29142
1653062400,29141.4,29338,28702,29271.7
1653076800,29269.5,29380,29110,29188.9
1653091200,29188.9,29331.7,28927,29246.8
1653105600,29246.7,29555,29187.4,29411.1
1653120000,29411.1,29466.4,29131.8,29272
1653134400,29271.9,29650,29167.1,29531.5
1653148800,29531.4,29646,29375.9,29452.2
1653163200,29452.2,29515,29295.5,29427.4
1653177600,29427.4,29537.5,29308.3,29343.9
1653192000,29343.8,29446.6,29223.6,29430.1
1653206400,29430.1,30330,29400,29891.1
1653220800,29891.1,30236,29664.6,29834.8
1653235200,29834.8,30181.6,29730.6,29932.7
1653249600,29932.7,30500,29900,30284
1653264000,30284,30450,30040.1,30165.3
1653278400,30165.2,30658,30100,30446.7
1653292800,30446.8,30620,30271.2,30393.8
1653307200,30393.8,30624.9,29907.2,30358.8
